Name/Date,Jun 29 2020,Jun 30 2020,Jul 01 2020,Jul 02 2020,Jul 03 2020,Jul 04 2020,Jul 05 2020
Adan Cain,5.1,2.8,
Alva Singleton,8,8,8,8,8,8,8
Antonia Sandoval,8,6.4,8,8.2,7.7,
Archie Klein,7,6.2,6,6,
Barbra Pearson,8,6.4,8,8.2,7.7,
Bettie Parks,8,8,8,8.1,8,
Bianca Wright,5.4,8.2,8,8.1,8,
Bryant Hammond,8,8,8,8,8,
Carmen Wade,8,6.4,8,8.2,7.7,
Celia Cantrell,8,6.4,8,8.2,7.7,
Claudio Le,8,8,8,8,8,8,8
Conrad Jackson,8,8,8,8.1,8,
Drew Hudson,7,7,7,7,6.2,
Duane Crawford,8,8,8,8,8,8,8
Employee Name,
Ezekiel Harrington,8,6.4,7.7,8.2,7.7,
Fannie Lara,6.4,8,8.2,7.7,
Flossie Sosa,8,6.4,8,8.2,7.7,
Giuseppe Simon,8,8,8,8,8,8,8
Guadalupe Murray,8,6.4,8,8.2,7.7,
Heath Mcdaniel,8,6,7,8,8,
Houston Mccormick,8,6.4,8,8.2,7.7,
Imelda Norris,8,6.4,8,8.2,7.7,
Isaac Nelson,8,7,7,8,7,1,
Jamaal Dawson,5.1,2.8,
Jami Keller,8,8,8,8,8,8,8
Jennifer Larsen,8,8,8,8,8,
Jerrod Tate,5.2,5,5.1,4.9,5,4.7,
Joan Sutton,8,8,8,8,8,
Katherine Robinson,1,
King Sanders,8,8,8,8,8,8,8
Latonya Small,8,7,7,8,8,3,
Lawerence Proctor,8,6.4,8,8.2,7.7,
Lelia Brooks,8,8,8,8,8,
Lonnie Perez,8,8,8,8,8,8,8
Luann Cooper,8,8,8,8.1,8,
Luella Hodges,8,8,8,8,8,8,8
Marquita Young,8,8,8,8,8,8,8
Mikel Swanson,5.1,2.8,
Myrna Johns,8,8,8,8,8,8,8
Ola Potts,8,8,8,8,8,
Randal Melendez,8,8,8,8,8,8,8
Rodolfo Combs,8,8,8,8,8,
Rosella Dunlap,7.9,8.8,8.1,7.9,9.8,
Ross Hendrix,8,8,8,8,8,
Sheri Zuniga,8,8,8,8,8,8,8
Stella Mccall,8,8,8,8,8,8,8
Sterling Lutz,8,6.4,8,8.2,7.7,
Timmy Bender,8,8,8,8,8,
Viola Hayes,8,8,8,8,8,
Wayne Payne,6.5,8,9,8,8,
